carbon_price,stranded_assets,stranded_pct
0,0,0.0
5,0,0.0
10,0,0.0
15,0,0.0
20,0,0.0
25,0,0.0
30,0,0.0
35,0,0.0
40,0,0.0
45,0,0.0
50,0,0.0
55,0,0.0
60,0,0.0
65,0,0.0
70,0,0.0
75,0,0.0
80,1,0.16638935108153077
85,2,0.33277870216306155
90,2,0.33277870216306155
95,2,0.33277870216306155
100,2,0.33277870216306155
105,2,0.33277870216306155
110,2,0.33277870216306155
115,2,0.33277870216306155
120,2,0.33277870216306155
125,2,0.33277870216306155
130,2,0.33277870216306155
135,2,0.33277870216306155
140,2,0.33277870216306155
145,2,0.33277870216306155
150,2,0.33277870216306155
155,2,0.33277870216306155
160,2,0.33277870216306155
165,3,0.49916805324459235
170,3,0.49916805324459235
175,3,0.49916805324459235
180,3,0.49916805324459235
185,3,0.49916805324459235
190,3,0.49916805324459235
195,3,0.49916805324459235
200,3,0.49916805324459235
205,3,0.49916805324459235
210,3,0.49916805324459235
215,3,0.49916805324459235
220,3,0.49916805324459235
225,3,0.49916805324459235
230,3,0.49916805324459235
235,4,0.6655574043261231
240,4,0.6655574043261231
245,5,0.8319467554076538
250,5,0.8319467554076538
