Trajectory,Count,Stranded @$100,Median Break-even,Median Cost %,Stranding Rate
Improving (>10% reduction),119,1,1838.6346569624316,1.6316455194835906,0.8403361344537815
Deteriorating (>10% increase),202,1,1519.9994395693534,1.9736849382328512,0.49504950495049505
Slightly Deteriorating,41,0,1433.9630127824018,2.092104170929016,0.0
Slightly Improving,31,0,1781.25,1.6842105263157894,0.0
Stable,208,0,1490.1960784313724,2.0131578947368416,0.0
